DATA_VOLUME_WEEKDAYS,social_networks_and_messengers_count,DATA_VOLUME_WEEKENDS,CALCULATION_METHOD_ID,video_content_and_streaming_count,cloud_services_and_email_count,phone_value,device_type_rus_smartphone,ecommerce_score,device_type_rus_phone,online_services_and_digital_stores_count,lifetime,how_long_same_model,AVG_ARPU,SCORING,maps_and_transport_count,calls_count_in_weekdays,calls_count_in_weekends,dating_and_social_platforms_count,calls_count_out_weekdays,target
154.83700000000005,700.72,181.143,1,208.84,540.29,3.0,True,1,False,9.579999999999998,38.7,25.0,260.73945,3,0.0,10.87,7.0,0.0,17.74,4
53.639,32.040000000000006,49.00899999999999,0,13.13,113.16000000000001,3.0,True,0,False,0.0,159.53333333,10.0,52.635025,1,0.0,0.91,0.25,0.0,0.48,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,177.9,25.0,22.189575,0,0.0,0.0,0.0,0.0,0.0,6
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,85.633333333,25.0,41.816525,0,0.0,7.39,5.0,0.0,11.0,5
0.0,0.0,0.0,0,0.0,0.0,3.0,True,0,False,0.0,130.2,23.0,39.863416667,1,0.0,0.43,2.25,0.0,0.7,3
47.659,359.94,23.868,0,2.71,164.94,3.0,True,0,False,0.0,170.7,15.0,55.29135,1,0.0,5.39,2.75,0.0,4.22,3
0.0,0.0,0.0,1,0.0,0.0,4.0,False,1,True,0.0,168.36666667,25.0,176.76996667,3,0.0,4.52,1.13,0.0,5.7,4
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,65.9,25.0,53.615916667,0,0.0,2.13,1.38,0.0,2.78,3
63.879,119.02,79.083,0,7.42,343.39,3.0,True,1,False,84.87,122.46666667,14.0,107.91963333,4,16.61,10.22,2.25,0.0,6.57,3
0.0,0.0,0.0,1,0.0,0.0,4.0,False,0,True,0.0,67.833333333,25.0,34.530008333000005,0,0.0,1.57,0.88,0.0,2.57,4
